CAT;CLASSIF;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS
V44;;Car occupant [car] injured in collision with heavy transport vehicle or bus;V44 Auto Busy traum collision veic trans dang short bus;;
V45;;Car occupant [car] injured in collision with a train [train] or railway vehicle;Busy V45 automobile collision traum veic train train station;;
V46;;Car occupant [car] injured in collision with other non-motor vehicle;V46 Busy automov traum collision othe veic n-motor;;
V47;;Car occupant [car] injured in collision with fixed or stationary object;V47 Busy automobile collision stopped traum fixed obj;;
V48;;Car occupant [car] injured in collision-free transport accident;V48 Busy automobile traum acid transp s / Collision;;
V49;;Car occupant [car] injured in other transport accidents and traffic accidents not specified;V49 Busy automobile traum NE and othe acid transp;;
V50;;Occupant of a truck or van injured in collision with pedestrian or animal;V50 Busy traum truck collision pedestrian animals;;
V51;;Occupant of a truck or van injured in collision with pedal cycle;V51 Busy traum truck collision veic pedal;;
V52;;Occupant of a truck or van injured in motor vehicle collision with two or three wheels;V52 Busy caminhon traum collision veic mot 2 3 wheels;;
V53;;Occupant of a truck or van injured in collision with car [car] or a truck;V53 Busy caminhon traum collision automov caminhon;;
V54;;Occupant of a truck or van injured in collision with heavy transport vehicle or bus;V54 Busy caminhon traum col veic transp feet short bus;;
V55;;Occupant of a truck or van injured in collision with train [train] or railway vehicle;V55 Busy caminhon traum train collision veic train station;;
V56;;Occupant of a truck or van injured in collision with other non-motor vehicle;Busy V56 truck collision traum othe veic n-mot;;
V57;;Occupant of a truck or van injured in collision with fixed or stationary object;V57 Busy traum truck stopped collision fixed obj;;
V58;;Occupant of a truck or van injured in noncollision transport accident;V58 Busy truck traum acid transp s / Collision;;
V59;;Occupant of a truck or van injured in other transport accidents and traffic accidents not specified;V59 Busy truck traum othe acid transp NE;;
V60;;Occupant of heavy transport vehicle injured in collision with pedestrian or animal;V60 Busy veic heavy transp traum collision ped anim;;
V61;;Occupant of heavy transport vehicle injured in collision with pedal cycle;V61 Busy veic heavy transp traum col veic pedal;;
V62;;Occupant of heavy transport vehicle injured in collision with motor vehicle two or three wheels;V62 Busy v transp parts mot 2 traum al veic rod 3;;
V63;;Occupant of heavy transport vehicle injured in collision with car [car] or a truck;V63 Busy veic heavy tr traum col self caminhon;;
V64;;Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus;V64 Busy v three-piece three col othe veic three feet short bus;;
V65;;Occupant of heavy transport vehicle injured in collision with train [train] or railway vehicle;V65 Busy veic three pieces traum col train veic train station;;
V66;;Occupant of heavy transport vehicle injured in collision with other non-motor vehicle;V66 Busy veic heavy tr traum col October veic n-mot;;
V67;;Occupant of heavy transport vehicle injured in collision with fixed or stationary object;V67 Busy veic three heavy obj traum al fixed Parad;;
V68;;Occupant of heavy transport vehicle injured in noncollision transport accident;V68 Busy veic three heavy traum ac transp s / collision;;
V69;;Occupant of heavy transport vehicle injured in other transport accidents not specified;V69 Busy veic heavy tr traum othe ac transp NE;;
V70;;Bus occupant injured in collision with pedestrian or animal;V70 Busy bus traum pedestrian collision animals;;
V71;;Occupant injured in bus collision with pedal cycle;V71 Busy bus collision traum veic pedal;;
V72;;Occupant injured in bus collision with another motor vehicle two or three wheels;V72 Busy bus traum col October veic mot 2 3 wheels;;
V73;;Occupant injured in bus collision with car [car] or a truck;V73 Busy bus traum automobile collision caminhonet;;
V74;;Bus occupant injured in collision with heavy transport vehicle or bus;V74 Busy bus collision traum veic transp feet short bus;;
V75;;Occupant injured in bus collision with a train [train] or railway vehicle;V75 Busy bus traum train collision veic train station;;
V76;;Bus occupant injured in collision with other non-motor vehicle;V76 Busy bus collision traum othe veic n-motor;;
V77;;Bus occupant injured in collision with fixed or stationary object;V77 Busy bus collision stopped traum fixed object;;
V78;;Occupant injured in bus noncollision transport accident;V78 Busy bus traum acid transp s / Collision;;
V79;;Occupant of bus injured in other transport accidents and traffic accidents not specified;V79 Busy bus traum acid and othe transp NE;;
V80;;Person mounted animal or occupant of a vehicle to animal traction injured in transport accident;V80 Persons mont anim anim oc veic traum ac transp;;
V81;;Occupant of a train [train] or railway vehicle injured in transport accident;V81 Busy train veic ferroviario traum acid transp;;
V82;;Occupant of streetcar [electric car] injured in transport accident;V82 OCUP a trolley traum acid transp;;
V83;;Occupant of special vehicle mainly used in industrial areas injured in a transport accident;V83 Busy veic esp mot area ind traum ac transp;;
V84;;Occupant of special vehicle mainly agricultural use of motor injured in transport accident;V84 Busy veic esp mot use agric traum acid trans;;
V85;;Occupant of special motor vehicle traumatized buildings in a transport accident;Sp V85 Busy veic mot buildings traum acid transp;;
V86;;Occupant of special vehicle for any terrain or other motor vehicle designed primarily for use not on the road, injured in transport accident;V86 Busy veic othe use n-traum via ac transp pub;;
V87;;type of traffic accident specified, but being unknown the victim's mode of transport;V87 Acid trans specific type UNKNOWN mod transp vit;;
V88;;Accident of non-traffic-specified type, but being unknown the victim's mode of transport;V88 Ac n-trans specific type UNKNOWN mod transp vit;;
V89;;Accident with a motor vehicle or non-driven, type (s) of vehicle (s) not specified (s);V89 Acid veic mot-mot n types of veic NE;;
V90;;Accident to watercraft causing drowning and submersion;V90 Acid vessel caus drowning submersion;;
V91;;Accident to watercraft causing other injury;V91 Acid watercraft causing othe type of traum;;
V92;;Drowning and submersion related to transport water without accident with the boat;V92 drown water submersion rel transp s / acid embarc;;
V93;;Accident on board a vessel without accident to watercraft, not causing drowning or submersion;V93 Acid bord emb s / c and n caus drown dipping;;
V94;;Other transport accidents water and unspecified;V94 othe acid transport: p / water and NE;;
V95;;motor aircraft accident causing injury to occupant;V95 Acid mot aircraft causing the traum Occ;;
V96;;Crash of an aircraft engine without causing injury to occupant;V96 Acid aircraft s / motor causing the traum Occ;;
V97;;Other specified air transport accidents;V97 specific AGAIN acid air transport;;
V98;;Other specified transport accidents;V98 specific othe acid transp;;
V99;;transport accident unspecified;V99 Acid transp NE;;
W00;;Fall on same level involving ice and snow;W00 Fall Wreath same level ice and snow;;
W01;;Fall on same level from slipping, tripping and stumbling false [traspés];W01 Fall same level wea tropec false step;;
W02;;Fall involving roller skates or ice, skiing or wheeled boards;W02 Fall env skates wheels ice ski pranch rod;;
W03;;Other fall on same level due to collision with, or pushing by someone else;W03 othe same qued niv collision jerk othe pers;;
W04;;Fall while being carried or supported by (an) other person (s);W04 Fall while carrying supported p / othe people;;
W05;;Fall involving wheelchair;W05 Fall Wreath a wheelchair;;
W06;;Drop a bed;W06 Fall involving bed;;
W07;;Fall from a chair;W07 Fall from a chair;;
W08;;Fall of other furniture;W08 Fall othe kind of furniture;;
W09;;"Fall involving ""playground"" equipment";W09 Fall Wreath playground equipment;;
W10;;Fall on and from stairs and steps;W10 Fall on and from stairs and steps;;
W11;;Fall on and from ladders;W11 Fall on and from stairs hand;;
W12;;Fall on and from scaffolding;W12 Fall on and from scaffolding;;
W13;;Drop in or out of buildings or other structures;W13 Fall or w / out buildings structures othe;;
W14;;Tree fall;W14 Fall from tree;;
W15;;Cliff fall;W15 Cliff Fall;;
W16;;Diving or jumping into water causing injury other than drowning or submersion;W16 Merg jump caus water submersion October traum n drown;;
W17;;Other fall from one level to another;W17 othe falls to a level the othe;;
W18;;Other fall on same level;W18 othe fall on same level;;
W19;;Fall unspecified;Loss W19 s / specification;;
W20;;Impact caused by thrown object, projected or falling;W20 impact caus lanc object designed in fall;;
W21;;active accidental impact or liability caused by sports equipment;W21 Impact acid active passive caus equip esport;;
W22;;active accidental impact or liability caused by other objects;W22 Impact acid active passive caus othe objects;;
W23;;Tight, collected, compressed or pinched in or between objects;W23 Apert harvested pill esmag within objects;;
W24;;Contact with lifting and transmission instruments, not elsewhere classified;W24 Contact instr lifts transm NCOP;;
W25;;Contact with sharp glass;W25 Contact c / glass cutting;;
W26;;Contact with knife, sword and dagger;W26 Contact c / sword knife and dagger;;
W27;;Contact hand tools;Contact W27 c / s hand tools / motor;;
W28;;Contact motorized mower to cut or mow the lawn;W28 Contact mower mot p / cut trim grass;;
W29;;Contact with other hand tools and household appliances equipped with motor;W29 Contat October manual utensil after Domest equip mot;;
W30;;Contact with agricultural machinery;Contact W30 w / agricultural machinery;;
W31;;Contact with other machines and unspecified;Contact W31 c / c othe machines / the NE;;
W32;;Projectile gun;W32 revolver Missile;;
W33;;Rifle, shotgun and larger weapons fire;W33 Rifle shotgun firearms larger;;
W34;;Projectiles of other firearms and unspecified;W34 Missiles of othe firearms and NE;;
W35;;Boiler explosion or rupture;W35 boiler explosion or breakage;;
W36;;Explosion of gas cylinder burst;W36 explosion or gas cylinder rupture;;
W37;;Explosion or tire rupture, pipe or hose, pressurized;Pipe rupture pneumat W37 Explosion pressure Mang;;
W38;;Explosion or rupture of other specified pressurized devices;Explosion W38 break after othe pressurized specific;;
W39;;Burning fireworks;W39 burning fires of artifice;;
W40;;Explosion of other materials;W40 Explosion of othe materials;;
W41;;Exposure to a high-pressure jet;W41 Exposure to a high pressure jet;;
W42;;Exposure to noise;W42 Exposure to noise;;
W43;;Exposure to vibration;W43 Exposure to vibration;;
W44;;foreign body penetration or through eye or natural orifice;W44 Penetr foreign body natural orifice eye;;
W45;;Penetration of body or foreign object through the skin;W45 Penetracao foreign body skin object;;
W46;;Contact hypodermic needle;W46 Contact with hypodermic needle;;
W49;;Exposure to other inanimate mechanical forces and unspecified;W49 Exposure othe Mecan inanimate forces and NE;;
W50;;Hit, struck, kicked, bitten or scratched inflicted by someone else;W50 Blow panc kick mord Slippery infl othe pers;;
W51;;Collision between two people;W51 Colis between two people;;
W52;;Crushed, pushed or stepped on by crowd or stampede mass of people;W52 Esmag push Pisot crowd deband mass;;
W53;;Rat-Bite;Rat-Bite W53;;
W54;;Bitten or struck by dog;W54 Bitten or struck p / dog;;
W55;;Bitten or struck by other mammals;W55 bite blow provoc othe mamif animals;;
W56;;Contact marine animals;W56 Contact c / marine animals;;
W57;;Bites and insect bites and other arthropods, non-poisonous;W57 Morded othe artrop insect bites n-venen;;
W58;;Bitten or struck by crocodile or alligator;W58 bite blow tease crocodile or alligator;;
W59;;Bitten or crushed by other reptiles;W59 provoked biting or esmag w / othe reptiles;;
W60;;Contact with plant thorns and sharp leaves;W60 Contact plants thorns or sharp leaves;;
W64;;Exposure to other animate mechanical forces and unspecified;W64 Exposure othe forces Mecan lively and NE;;
W65;;Drowning and submersion while in bath tub;W65 Drowning submerging for bath tub;;
W66;;Drowning and submersion consecutive fall in a bathtub;W66 Drowning consec submersion bath drop;;
W67;;Drowning and submersion in pool;W67 Drowning and submersion in pool;;
W68;;Drowning and consequent submersion following fall into a pool;W68 Drowning pool submersion conseq fall;;
W69;;Drowning and submersion in natural waters;W69 Drowning and submersion in natural waters;;
W70;;Drowning and submersion consequent fall into natural water;W70 Drowning submersion conseq falling waters nat;;
W73;;Other specified drowning and submersion;W73 othe drowning and submersion specific;;
W74;;Unspecified drowning and submersion;W74 Drowning and submersion NE;;
W75;;Accidental suffocation and strangulation in bed;W75 suffocation and strangulation in bed acid;;
W76;;Another accidental hanging and strangulation;W76 othe hanging and strangulation acid;;
W77;;Risk breathing due to cave-in, falling earth and other substances;W77 resp Risk dev desmor earth fall othe subst;;
W78;;Inhalation of gastric contents;W78 Inhalation of gastric contents;;
W79;;Inhalation and ingestion of food causing obstruction of respiratory tract;W79 Inhalation ingestion aliment caus JAM trat resp;;
W80;;Inhalation and ingestion of other objects causing obstruction of respiratory tract;W80 Inalac intake othe obj caus tx resp JAM;;
W81;;Confined or trapped in a oxygen-depleted environment;W81 Confined aprision oxygen poor environment;;
W83;;Other risks specified to breath;W83 othe risks specific to breathing;;
W84;;Risks not specified to breath;W84 Risk NE to breath;;
W85;;Exposure to electrical current transmission lines;Exposure speed transmission lines W85 electric current;;
W86;;Exposure to other specified electric current;W86 Exposure to othe specific electric current;;
W87;;Exposure to unspecified electric current;W87 Exposure to electric current NE;;
W88;;Exposure to ionizing radiation;W88 Exposure to ionizing radiation;;
W89;;Exposure to artificial light sources visible or ultraviolet light;W89 Expos firecracker Brightness sources visiv ULTRAVIOL light;;
W90;;Exposure to other types of non-ionizing radiation;W90 Exposure othe non-ionizing radiation types;;
W91;;Exposure to unspecified type of radiation;W91 Exposure NE type of radiation;;
W92;;Exposure to excessive heat artificial origin;W92 Exposure excessive heat artificial orig;;
W93;;Exposure to excessive cold of artificial origin;Exposure W93 severe cold artificial orig;;
W94;;Exposure to high, low and variations in atmospheric pressure;W94 Expos high and low atmospheric pressure variations;;
W99;;Exposure to other artificial environmental factors and unspecified;W99 Exposure firecracker othe ambient factors and NE;;
X00;;Exposure to uncontrolled fire in a building or other construction;X00 Expos n-contr fire building othe type buildings;;
X01;;Exposure to uncontrolled fire outside a building or other construction;X01 Expos fire n-contr out edif out kind buildings;;
X02;;fire exposure controlled in a building or other construction;X02 Exposure fire contr edif othe type buildings;;
X03;;fire exposure controlled outside a building or other construction;X03 Expos fire contr out edif othe type buildings;;
X04;;Exposure to very flammable substance combustion;X04 Exposure combustion subst very flammable;;
X05;;Exposure to combustion sleeping clothes;X05 Exposure to combustion sleeping clothes;;
X06;;Exposure to combustion of other type of clothing or accessories;X06 Exposure combustion othe brand clothes accessor;;
X08;;Exposure to other specified smoke, fire and flames;X08 Exposure othe specific type smoke fire flames;;
X09;;Exposure to unspecified smoke, fire and flames;X09 Exposure NE type smoke fire flames;;
X10;;Contact with drinks, food, fat and hot cooking oil;X10 Contact drink? Alim gord kitchen hot oil;;
X11;;Contact with hot tap water tap;X11 Contact w / hot running tap water;;
X12;;Contact with other hot liquids;X12 Contact c / othe hot liquids;;
X13;;Contact with steam and hot vapors;X13 Contact c / vapor dagua c / hot vapors;;
X14;;Contact with air and hot gases;X14 Contact c / air and hot gases;;
X15;;Contact with hot household appliances;X15 Contact c / domestic hot appliances;;
X16;;Contact heaters, radiators and piping;X16 Contact c / heating radiators and piping;;
X17;;Contact engines, machines and hot tools;X17 Contact engines tools hot machines;;
X18;;Contact with other hot metals;X18 Contact c / othe hot metal;;
X19;;Contact with other heat sources, or unspecified hot substances;X19 Contact othe heat sources warm subst NE;;
X20;;Contact with poisonous snakes and lizards;X20 Contact c / snakes and poisonous lizards;;
X21;;Contact with venomous spiders;X21 Contact c / poisonous spiders;;
X22;;Contact with scorpions;X22 Contact c / scorpions;;
X23;;Contact with bees, wasps and hornets;X23 Contact w / wasps and bees sawflies;;
X24;;Contact with poisonous centipedes and millipedes (tropical);X24 Contact c / centipedes and venomous millipedes;;
X25;;Contact with other venomous arthropods;X25 Contact c / othe venomous arthropods;;
X26;;Contact with animals and poisonous marine plants;X26 Contact poisonous marine animals and plants;;
X27;;Contact with other specified venomous animals;X27 Contact c / othe specific poisonous animals;;
X28;;Contact with other specified venomous plants;X28 Contact c / othe specific poisonous plants;;
X29;;Contact animals or poisonous plants, without specifying;X29 Contact animals or poisonous plants s / spec;;
X30;;Exposure to natural excessive heat;X30 natural exposure to excessive heat;;
X31;;Exposure to excessive natural cold;X31 excessive exposure to natural cold;;
X32;;Exposure to sunlight;X32 Exposure to sunlight;;
X33;;distance to victim;X33 distance to Victim;;
X34;;earthquake victims;X34 Victim of earthquake;;
X35;;volcanic eruption victim;X35 Victim of volcanic eruption;;
X36;;avalanche victim, ground collapse and other movements of the earth's surface;X36 Victim avalanc desab earth mov October sup terr;;
X37;;Victim of cataclysmic storm;X37 Victim of cataclysmic storm;;
X38;;flood victim;X38 Victim of flood;;
X39;;Exposure to other forces of nature and unspecified;X39 Exposure to othe forces of nature and the NE;;
X40;;Poisoning [poisoning] and by accidental exposure to analgesics, antipyretics and anti-rheumatic agents, non-opioid;X40 Envenen acid analg antipir anti-n-reum OPIAC;;
X41;;Poisoning [intoxication] by accidental exposure and anticonvulsants [antiepileptic], sedatives, hypnotics, antiparkinsonian and psychotropic drugs, not elsewhere classified;X41 Env ac anticon sed Hypnotic antipark psicot NCOP;;
X42;;Poisoning [poisoning] accidental by and exposure to narcotics and psychodysleptics [hallucinogens] not elsewhere classified;X42 Envenen acid Narcotics NEC psychodysleptics;;
X43;;Poisoning [poisoning] accidental by and exposure to other drugs acting on the autonomic nervous system;X43 Envenen acid othe subst farm syst Auton Nerv;;
X44;;Poisoning [poisoning] and by accidental exposure to other drugs, medicaments and biological substances unspecified;X44 Envenen acid othe offwhite medic subst Biolog NE;;
X45;;Poisoning [poisoning] and by accidental exposure to alcohol;X45 acid Envenen w / and exposure to alcohol;;
X46;;Poisoning [poisoning] and by accidental exposure to organic solvents and halogenated hydrocarbons and their vapors;X46 Envenen organic acid solv hidrocarb steam Halog;;
X47;;Accidental poisoning by and exposure to other gases and vapors;X47 Intox acid gases and vapors othe;;
X48;;Poisoning [poisoning] accidental by and exposure to pesticides;X48 acid Envenen w / pesticide exposure and;;
X49;;Poisoning [poisoning] accidental by and exposure to other harmful chemicals and unspecified;X49 Envenen acid othe subst and harmful chem NE;;
X50;;Excess and strenuous or repetitive movements;X50 Excess subs vigorous or repetitive MOVIM;;
X51;;Travel and motion;X51 Travel and motion;;
X52;;Prolonged stay in the environment agravitacional;X52 prolonged stay environment agravitacional;;
X53;;Lack of food;Lack of food X53;;
X54;;Lack of water;Lack of water X54;;
X57;;Deprivation unspecified;X57 deprivation NE;;
X58;;Exposure to other specified factors;X58 Exposure to othe specific factors;;
X59;;Exposure to unspecified factors;X59 Exposure NE factors;;
X60;;Self-poisoning by and exposure, intentional, analgesic, antipyretic, and antirheumatic products, non-opiate;X60 Self-int int analg antipir anti-reum n-OPIAC;;
X61;;Self-poisoning by and exposure, intentional, the anticonvulsant drugs [AEDs] sedatives, hypnotics, antiparkinsonian and psychotropic drugs, not elsewhere classified;X61 Self-int int a conv-sed the hip-park psycho NEC;;
X62;;Self-poisoning by and exposure, intentional, narcotics and psychodysleptics [hallucinogens] not elsewhere classified;X62 Self-intox-intent Narcotics psicodislept NEC;;
X63;;Self-poisoning by and exposure intentionally to other drugs acting on the autonomic nervous system;X63 Self-int int othe subst farm syst auton nerv;;
X64;;Self-poisoning by and exposure intentionally to other drugs, medicaments and biological substances and unspecified;X64 Self-int-intent in October drog med subst biolog NE;;
X65;;voluntary self-poisoning by alcohol;X65 Self-intox voluntary p / alcohol;;
X66;;Intentional self-poisoning by organic solvents, halogenated hydrocarbons and their vapors;X66 Self-int int solv org hidrocarb steam Halog;;
X67;;Intentional self-poisoning by other gases and vapors;X67 Self-intox-intent p / othe gases and vapors;;
X68;;Self-poisoning by and exposure, intentional pesticide;X68 Self-intox-intent to pesticides;;
X69;;Self-poisoning by and exposure intentionally to other chemicals and unspecified harmful substances;X69 Self-intent int othe prod chem subst noc NE;;
X70;;Intentional self-harm by hanging, strangulation and suffocation;X70 injury autoprov-intent enforc Aliens sufoc;;
X71;;Intentional self-harm by drowning and submersion;X71 injury autoprov-intent w / Submersion drowning;;
X72;;Intentional self-harm by hand gun shooting;X72 injury autoprov-intent operative hand of firearm;;
X73;;Intentional self-harm by rifle shooting, rifle, or larger caliber firearm;X73 Les autoprov int disp fog larger caliber arm;;
X74;;Intentional self-harm by shooting another firearm and firearm unspecified;X74 injury autopr-intent othe gun fire and operative NE;;
X75;;Intentional self-harm by explosive material;X75 injury autoprov-intent w / explosives disp;;
X76;;Intentional self-harm by smoke, fire and flames;X76 injury autoprov-intent smoke fire and flames;;
X77;;Intentional self-harm by steam, hot vapors and hot objects;X77 injury autopr int Hot water vapor gas obj;;
X78;;Intentional self-harm by sharp object;X78 injury autoprov-intent cutting obj penetr;;
X79;;Intentional self-harm by blunt object;X79 injury autoprov-intent p / blunt object;;
X80;;Intentional self-harm by precipitation from a high place;X80 injury autoprov-intent precip high place;;
X81;;Intentional self-harm by jumping or lying before moving object;X81 injury autoprov-intent precip perm obj MOVIM;;
X82;;Intentional self-harm by the impact of a motor vehicle;X82 injury autoprov-intent veic impact engine;;
X83;;Intentional self-harm by other specified means;X83 injury autoprov-intent w / othe specific means;;
X84;;Intentional self-harm by unspecified means;X84 injury autoprov-intent w / NE means;;
X85;;Assault by drugs, medicinal and biological substances;X85 Aggression means drog medic and biological subst;;
X86;;Assault by corrosive substance;X86 Aggression w / corrosive medium subst;;
X87;;Assault by pesticides;X87 Aggression w / pesticides;;
X88;;Assault by gases and vapors;X88 Aggression w / medium gases and vapors;;
X89;;Assault by other specified chemicals and noxious substances;X89 Aggression othe prod harmful subst specific chem;;
X90;;Assault by chemicals and harmful substances not specified;X90 Aggression prod chemicals and harmful subst NE;;
X91;;Assault by hanging, strangulation and suffocation;X91 Aggression enforc strangulation suffocation;;
X92;;Assault by drowning and submersion;X92 Aggression w / drowning medium and submersion;;
X93;;Assault by hand gun shooting;X93 Aggression shooting hand firearm;;
X94;;Assault by rifle shooting, rifle or larger caliber firearm;X94 Aggression firing large-caliber firearm;;
X95;;Assault by shooting another firearm or weapon unspecified;X95 Aggression shooting othe firearm or NE;;
X96;;Assault by explosive material;X96 Aggression w / explosive material through;;
X97;;Assault by smoke, fire and flames;X97 Aggression p / through smoke fire and flames;;
X98;;Assault by steam, hot vapors and hot objects;X98 Aggression water vapor gases or hot objects;;
X99;;Assault by sharp object;X99 Aggression sharp object;;
Y00;;Assault by a blunt object;Aggression Y00 p / means of a blunt object;;
Y01;;Assault by projection from a high place;Y01 Aggression w / projection means from a high place;;
Y02;;Assault by projection or placing victim before moving object;Aggression Y02 proj placed victim movement obj;;
Y03;;Assault by impact of a motor vehicle;Y03 Aggression w / medium impact motor veic;;
Y04;;Assault by bodily force;Aggression Y04 p / half body strength;;
Y05;;sexual assault by physical force;Y05 sexual assault w / medium physical strength;;
Y06;;Neglect and abandonment;Y06 Neglect and abandonment;;
Y07;;Other syndromes of abuse;Y07 othe sindr of abuse;;
Y08;;Assault by other specified means;Y08 Assault w / othe specific means;;
Y09;;Assault by unspecified means;Y09 Aggression w / media NE;;
Y10;;Poisoning [intoxication] by exposure to analgesics, antipyretics and antirheumatics, opioids, undetermined intent;Y10 Env analg antipir antireum n-OPIAC int n det;;
Y11;;Poisoning [intoxication] by exposure to anticonvulsants [antiepileptic], sedatives, hypnotics, antiparkinsonian and psychotropic drugs, not elsewhere classified, undetermined intent;Y11 Env antic sed Hypnotic Antip psychotic NEC int n det;;
Y12;;Poisoning [poisoning] by and exposure to narcotics and psychodysleptics [hallucinogens] not elsewhere classified, undetermined intent;Y12 Envenen Narcotics psicodislept NEC int n det;;
Y13;;Poisoning [poisoning] by and exposure to other drugs acting on the autonomic nervous system, undetermined intent;Y13 Env October subst farm syst auton nerv int n det;;
Y14;;Poisoning [intoxication] by exposure to other drugs, medicaments and biological substances and the unspecified undetermined intent;Y14 Env October drog subst med biolog and NE int n det;;
Y15;;Poisoning [intoxication] by exposure to alcohol, undetermined intent;Y15 Envenen alcohol undetermined intent;;
Y16;;Poisoning [intoxication] by exposure to organic solvents and halogenated hydrocarbons and their vapors, undetermined intent;Y16 Env solv org hidrocarb Halog Steam int n det;;
Y17;;Poisoning [intoxication] by exposure to other gases and vapors, undetermined intent;Y17 Envenen othe-intent vapors gases n det;;
Y18;;Poisoning [intoxication] by exposure to pesticides, undetermined intent;Y18 Envenen not determined intent pesticides;;
Y19;;Poisoning [intoxication] by exposure to harmful chemicals and other substances and unspecified, undetermined intent;Y19 Env October prod subst chem noc and NE int n det;;
Y20;;Hanging, strangulation and suffocation, undetermined intent;Alien sufoc-intent Y20 Enforc not determined;;
Y21;;Drowning and submersion, undetermined intent;Y21 drowning submersion-intent not determined;;
Y22;;gun shooting, undetermined intent;Y22 gun shooting undetermined intent;;
Y23;;rifle, shotgun and larger caliber firearm, undetermined intent;Y23 Trigger gun fire larger caliber n-intent det;;
Y24;;Shooting another firearm and firearm unspecified, undetermined intent;Y24 shooting othe gun fire and NE-intent not det;;
Y25;;Contact with explosive material, undetermined intent;Contact Y25 w / explosive material det n-intent;;
Y26;;Exposure to smoke, fire and flames, undetermined intent;Y26 Exposure smoke fire flame-intent n det;;
Y27;;Exposure to water vapor, gases and hot objects, undetermined intent;Y27 water vapor exposures obj hot gas int n det;;
Y28;;Contact with sharp object, undetermined intent;Y28 Contact penetrating sharp obj-intent n det;;
Y29;;Contact with blunt object, undetermined intent;Y29 Contact blunt-intent obj n det;;
Y30;;Falling, jumping or pushed from a high place, undetermined intent;Y30 fall jump push-intent place elev n det;;
Y31;;Falling, lying or running before or into moving object, undetermined intent;Y31 Fall Perman race obj mov-intent n det;;
Y32;;Impact of a motor vehicle, undetermined intent;Impact-intent Y32 veic the engine not determined;;
Y33;;Other facts or specified events, undetermined intent;Y33 othe facts or specific-intent n det events;;
Y34;;Facts or events unspecified and undetermined intent;Y34 facts or events not determined NE and-intent;;
Y35;;Legal intervention;Y35 Legal Intervention;;
Y36;;war operations;Y36 War Operations;;
Y40;;Adverse effects of systemic antibiotics;Y40 systemic Antibiotics;;
Y41;;adverse effects of other anti-systemic and antiparasitic;Y41 othe antiinfecc and systemic antiparasit;;
Y42;;Adverse effects of hormones and their synthetic substitutes and antagonists, not elsewhere classified;Y42 Hormones subst Sintet NEC antagonists;;
Y43;;adverse effects primarily systemic action substances;Y43 Replace prim systemic action;;
Y44;;adverse effects of pharmacological agents primarily affecting blood constituents;Y44 Replace farm act prim s / constit blood;;
Y45;;adverse effects of analgesic substances, antipyretic and anti-inflammatory;Y45 Replace analges antipiret and anti-inflammatory;;
Y46;;Adverse effects of anticonvulsant drugs (antiepileptic) and antiparkinsonian;Y46 Drugs anticonvulsiv and antiparkinsonian;;
Y47;;adverse effects of sedatives, hypnotics and tranquilizers [anxiolytics];Y47 Sedatives and tranquilizers Hypnotic;;
Y48;;Adverse effects of anesthetics and therapeutic gases;Y48 Anesthetics and therapeutic gases;;
Y49;;Adverse effects of psychotropic substances, not elsewhere classified;Y49 Replace psychotropic NEC;;
Y50;;adverse effects of stimulants of the central nervous system, not elsewhere classified;Y50 stimulants of the central nervous syst NCOP;;
Y51;;adverse effects of drugs that act primarily on the autonomic nervous system;Y51 Drugs acting prim s / auton nerv syst;;
Y52;;adverse effects of substances that act primarily on the cardiovascular;Y52 Replace acting prim cardiovascular system;;
Y53;;adverse effects of agents primarily affecting the gastrointestinal system;Y53 Replace operating unit prim Gastrointest;;
Y54;;adverse effects of substances which act primarily on the metabolism of water, minerals and uric acid;Subst Y54 act prim water Metab salts min ac uric;;
Y55;;adverse effects of substances that act primarily on smooth and skeletal muscles and the respiratory system;Y55 Replace act prim smooth musc skeleton after resp;;
Y56;;Adverse effects of topical agents primarily on the skin and mucous membrane and ophthalmological drug, dental and ENT;Y56 Replace topic Membr skin muc use oft otor dent;;
Y57;;adverse effects of other drugs and medicines and unspecified;Y57 othe drugs and medicines and NE;;
Y58;;adverse effects of bacterial vaccines;Y58 Vaccines bacter;;
Y59;;adverse effects of vaccines and other biological substances and unspecified;Y59 othe vaccines and biological subst and NE;;
Y60;;Cut, puncture, accidental perforation or hemorrhage during the provision of medical or surgical care;Y60 Cort punc perf hemorr acid Nursing med surg;;
Y61;;Foreign object accidentally left in the body for the provision of surgical and medical care;Y61 Obj strange Deix acid perst Nursing med surg;;
Y62;;inadequate sterilization during the provision of surgical and medical care;Y62 Asseps inflatable perst and medical care surg;;
Y63;;dosage errors while providing medical and surgical care;Y63 dosage errors perst med surg care and;;
Y64;;Medication or biological substances contaminated;Y64 Drugs or subst contaminated biolog;;
Y65;;Other accidents while providing medical and surgical care;Y65 during othe acid Perst Nursing medic surg;;
Y66;;No administration of medical and surgical care;Y66 Not admin medical and surgical care;;
Y69;;Unspecified accident during the provision of medical care and surgical;Y69 Acid NE during perst care medic surg;;
Y70;;Devices (devices) of anesthesiology associated with adverse incidents;Y70 Disp anesthesiology assoc INCID adverse;;
Y71;;Devices (devices) cardiovascular associated with adverse incidents;Y71 Disp assoc cardiovascular adverse INCID;;
