SUBCAT;CLASSIF;RESTRSEXO;CAUSAOBITO;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS
W741;;;;Drowning and submersion unspecified - tenement;W74.1 collective Habitacao
W742;;;;Unspecified drowning and submersion - schools, other institutions and areas of public administration;W74.2 Schools othe instit admin public areas
W743;;;;Unspecified drowning and submersion - area for sports and athletics;W74.3 Area w / the practice of sports and athletics
W744;;;;Unspecified drowning and submersion - Street and highway;Street and highway W74.4
W745;;;;Unspecified drowning and submersion - areas of trade and services;W74.5 trade Areas and services
W746;;;;Unspecified drowning and submersion - industrial areas and construction;W74.6 Industrial Areas and construction
W747;;;;Unspecified drowning and submersion - Farm;W74.7 Farm
W748;;;;Drowning and submersion not specified - other specified locations;W74.8 othe specific locations
W749;;;;Drowning and submersion unspecified - unspecified location;W74.9 Place NE
W750;;;;Suffocation and strangulation in bed accidental - Residence;W75.0 Residencia
W751;;;;Accidental suffocation and strangulation in bed - tenement;W75.1 collective Habitacao
W752;;;;Suffocation and strangulation in bed accidental - schools, other institutions and areas of public administration;W75.2 Schools othe instit admin public areas
W753;;;;Suffocation and strangulation in bed accidental - area for sports and athletics;W75.3 Area w / the practice of sports and athletics
W754;;;;Suffocation and accidental strangulation in bed - street and road;Street and highway W75.4
W755;;;;Suffocation and strangulation in bed accidental - trade and service areas;W75.5 trade Areas and services
W756;;;;Suffocation and strangulation in bed accidental - industrial areas and construction;W75.6 Industrial Areas and construction
W757;;;;Accidental suffocation and strangulation in bed - Farm;W75.7 Farm
W758;;;;Accidental suffocation and strangulation in bed - other specified locations;W75.8 othe specific locations
W759;;;;Accidental suffocation and strangulation in bed - unspecified location;W75.9 Place NE
W760;;;;Another accidental hanging and strangulation - Residence;W76.0 Residencia
W761;;;;Another accidental hanging and strangulation - tenement;W76.1 collective Habitacao
W762;;;;Another accidental hanging and strangulation - schools, other institutions and areas of public administration;W76.2 Schools othe instit admin public areas
W763;;;;Another accidental hanging and strangulation - area for sports and athletics;W76.3 Area w / the practice of sports and athletics
W764;;;;Another accidental hanging and strangulation - street and road;Street and highway W76.4
W765;;;;Another accidental hanging and strangulation - areas of trade and services;W76.5 trade Areas and services
W766;;;;Another accidental hanging and strangulation - industrial areas and construction;W76.6 Industrial Areas and construction
W767;;;;Another accidental hanging and strangulation - farm;W76.7 Farm
W768;;;;Another accidental hanging and strangulation - other specified locations;W76.8 othe specific locations
W769;;;;Another accidental hanging and strangulation - unspecified location;W76.9 Place NE
W770;;;;Risk breathing due to cave-in, falling earth and other substances - Residence;W77.0 Residencia
W771;;;;Risk breathing due to cave-in, falling earth and other substances - tenement;W77.1 collective Habitacao
W772;;;;Risk breathing due to cave-in, falling earth and other substances - schools, other institutions and areas of public administration;W77.2 Schools othe instit admin public areas
W773;;;;Risk breathing due to cave-in, falling earth and other substances - area for sports and athletics;W77.3 Area w / the practice of sports and athletics
W774;;;;Risk breathing due to cave-in, falling earth and other substances - street and road;Street and highway W77.4
W775;;;;Risk breathing due to cave-in, falling earth and other substances - trade and service areas;W77.5 trade Areas and services
W776;;;;Risk breathing due to cave-in, falling earth and other substances - industrial areas and construction;W77.6 Industrial Areas and construction
W777;;;;Risk breathing due to cave-in, falling earth and other substances - farm;W77.7 Farm
W778;;;;Risk breathing due to cave-in, falling earth and other substances - other specified locations;W77.8 othe specific locations
W779;;;;Risk breathing due to cave-in, falling earth and other substances - unspecified location;W77.9 Place NE
W780;;;;Inhalation of gastric contents - Residence;W78.0 Residencia
W781;;;;Inhalation of gastric contents - tenement;W78.1 collective Habitacao
W782;;;;Inhalation of gastric contents - schools, other institutions and areas of public administration;W78.2 Schools othe instit admin public areas
W783;;;;Inhalation of gastric contents - area for sports and athletics;W78.3 Area w / the practice of sports and athletics
W784;;;;Inhalation of gastric contents - street and road;Street and highway W78.4
W785;;;;Inhalation of gastric contents - trade and service areas;W78.5 trade Areas and services
W786;;;;Inhalation of gastric contents - industrial areas and construction;W78.6 Industrial Areas and construction
W787;;;;Inhalation of gastric contents - farm;W78.7 Farm
W788;;;;Inhalation of gastric contents - other specified locations;W78.8 othe specific locations
W789;;;;Inhalation of gastric contents - unspecified location;W78.9 Place NE
W790;;;;Inhalation and ingestion of food causing obstruction of the respiratory tract - Residence;W79.0 Residencia
W791;;;;Inhalation and ingestion of food causing obstruction of the respiratory tract - tenement;W79.1 collective Habitacao
W792;;;;Inhalation and ingestion of food causing obstruction of the respiratory tract - schools, other institutions and areas of public administration;W79.2 Schools othe instit admin public areas
W793;;;;Inhalation and ingestion of food causing obstruction of the respiratory tract - area for sports and athletics;W79.3 Area w / the practice of sports and athletics
W794;;;;Inhalation and ingestion of food causing obstruction of the respiratory tract - street and road;Street and highway W79.4
W795;;;;Inhalation and ingestion of food causing obstruction of the respiratory tract - trade and service areas;W79.5 trade Areas and services
W796;;;;Inhalation and ingestion of food causing obstruction of the respiratory tract - industrial areas and construction;W79.6 Industrial Areas and construction
W797;;;;Inhalation and ingestion of food causing obstruction of the respiratory tract - farm;W79.7 Farm
W798;;;;Inhalation and ingestion of food causing obstruction of the respiratory tract - other specified locations;W79.8 othe specific locations
W799;;;;Inhalation and ingestion of food causing obstruction of the respiratory tract - unspecified location;W79.9 Place NE
W800;;;;Inhalation and ingestion of other objects causing obstruction of the respiratory tract - Residence;W80.0 Residencia
W801;;;;Inhalation and ingestion of other objects causing obstruction of the respiratory tract - tenement;W80.1 collective Habitacao
W802;;;;Inhalation and ingestion of other objects causing obstruction of the respiratory tract - schools, other institutions and areas of public administration;W80.2 Schools othe instit admin public areas
W803;;;;Inhalation and ingestion of other objects causing obstruction of the respiratory tract - area for sports and athletics;W80.3 Area w / the practice of sports and athletics
W804;;;;Inhalation and ingestion of other objects causing obstruction of the respiratory tract - street and road;Street and highway W80.4
W805;;;;Inhalation and ingestion of other objects causing obstruction of the respiratory tract - trade and service areas;W80.5 trade Areas and services
W806;;;;Inhalation and ingestion of other objects causing obstruction of the respiratory tract - industrial areas and construction;W80.6 Industrial Areas and construction
W807;;;;Inhalation and ingestion of other objects causing obstruction of the respiratory tract - farm;W80.7 Farm
W808;;;;Inhalation and ingestion of other objects causing obstruction of the respiratory tract - other specified locations;W80.8 othe specific locations
W809;;;;Inhalation and ingestion of other objects causing obstruction of the respiratory tract - unspecified location;W80.9 Place NE
W810;;;;Confined or trapped in a poor environment in oxygen - Residence;W81.0 Residencia
W811;;;;Confined or trapped in a poor environment in oxygen - tenement;W81.1 collective Habitacao
W812;;;;Confined or trapped in a oxygen-depleted environment - schools, other institutions and areas of public administration;W81.2 Schools othe instit admin public areas
W813;;;;Confined or trapped in a poor environment in oxygen - area for sports and athletics;W81.3 Area w / the practice of sports and athletics
W814;;;;Confined or trapped in a oxygen-depleted environment - street and road;Street and highway W81.4
W815;;;;Confined or trapped in a oxygen-depleted environment - trade and service areas;W81.5 trade Areas and services
W816;;;;Confined or trapped in a poor environment in oxygen - industrial areas and construction;W81.6 Industrial Areas and construction
W817;;;;Confined or trapped in a poor environment in oxygen - farm;W81.7 Farm
W818;;;;Confined or trapped in a poor environment in oxygen - other specified locations;W81.8 othe specific locations
W819;;;;Confined or trapped in a poor environment in oxygen - unspecified location;W81.9 Place NE
W830;;;;Other risks specified to breath - Residence;W83.0 Residencia
W831;;;;Other risks specified to breath - tenement;W83.1 collective Habitacao
W832;;;;Other risks specified to breath - schools, other institutions and areas of public administration;W83.2 Schools othe instit admin public areas
W833;;;;Other risks specified to breath - area for sports and athletics;W83.3 Area w / the practice of sports and athletics
W834;;;;Other risks specified to breath - Street and highway;Street and highway W83.4
W835;;;;Other risks specified to breath - trade and service areas;W83.5 trade Areas and services
W836;;;;Other risks specified to breath - industrial areas and construction;W83.6 Industrial Areas and construction
W837;;;;Other risks specified to breath - farm;W83.7 Farm
W838;;;;Other risks specified to breath - other specified locations;W83.8 othe specific locations
W839;;;;Other risks specified to breath - unspecified location;W83.9 Place NE
W840;;;;Risks not specified the breath - Residence;W84.0 Residencia
W841;;;;Risks not specified the breath - tenement;W84.1 collective Habitacao
W842;;;;Risks not specified the breath - schools, other institutions and areas of public administration;W84.2 Schools othe instit admin public areas
W843;;;;Risks not specified the breath - area for sports and athletics;W84.3 Area w / the practice of sports and athletics
W844;;;;Risks not specified the breath - Street and highway;Street and highway W84.4
W845;;;;Risks not specified the breath - the areas of trade and services;W84.5 trade Areas and services
W846;;;;Risks not specified the breath - industrial areas and construction;W84.6 Industrial Areas and construction
W847;;;;Risks not specified the breath - farm;W84.7 Farm
W848;;;;Risks not specified the breath - other specified locations;W84.8 othe specific locations
W849;;;;Risks not specified the breath - unspecified location;W84.9 Place NE
W850;;;;Exposure to electric power transmission lines - Residence;W85.0 Residencia
W851;;;;Exposure to electric power transmission lines - tenement;W85.1 collective Habitacao
W852;;;;Exposure to electric power transmission lines - schools, other institutions and areas of public administration;W85.2 Schools othe instit admin public areas
W853;;;;Exposure to electric power transmission lines - area for sports and athletics;W85.3 Area w / the practice of sports and athletics
W854;;;;Exposure to electric power transmission lines - street and road;Street and highway W85.4
W855;;;;Exposure to electric power transmission lines - trade and service areas;W85.5 trade Areas and services
W856;;;;Exposure to electric power transmission lines - industrial areas and construction;W85.6 Industrial Areas and construction
W857;;;;Exposure to electric power transmission lines - farm;W85.7 Farm
W858;;;;Exposure to electric power transmission lines - other specified locations;W85.8 othe specific locations
W859;;;;Exposure to electric power transmission lines - unspecified location;W85.9 Place NE
W860;;;;Exposure to other specified electric current - Residence;W86.0 Residencia
W861;;;;Exposure to other specified electric current - tenement;W86.1 collective Habitacao
W862;;;;Exposure to other specified electric current - schools, other institutions and areas of public administration;W86.2 Schools othe instit admin public areas
W863;;;;Exposure to other specified electric current - area for sports and athletics;W86.3 Area w / the practice of sports and athletics
W864;;;;Exposure to other specified electric current - street and road;Street and highway W86.4
W865;;;;Exposure to other specified electric current - trade and service areas;W86.5 trade Areas and services
W866;;;;Exposure to other specified electric current - industrial areas and construction;W86.6 Industrial Areas and construction
W867;;;;Exposure to other specified electric current - farm;W86.7 Farm
W868;;;;Exposure to other specified electric current - other specified locations;W86.8 othe specific locations
W869;;;;Exposure to other specified electric current - unspecified location;W86.9 Place NE
W870;;;;Exposure to unspecified electric current - Residence;W87.0 Residencia
W871;;;;Exposure to unspecified electric current - tenement;W87.1 collective Habitacao
W872;;;;Exposure to unspecified electric current - schools, other institutions and areas of public administration;W87.2 Schools othe instit admin public areas
W873;;;;Exposure to unspecified electric current - area for sports and athletics;W87.3 Area w / the practice of sports and athletics
W874;;;;Exposure to unspecified electric current - street and road;Street and highway W87.4
W875;;;;Exposure to unspecified electric current - the areas of trade and services;W87.5 trade Areas and services
W876;;;;Exposure to unspecified electric current - industrial areas and construction;W87.6 Industrial Areas and construction
W877;;;;Exposure to unspecified electric current - farm;W87.7 Farm
W878;;;;Exposure to electric current not specified - other specified locations;W87.8 othe specific locations
W879;;;;Exposure to unspecified electric current - unspecified location;W87.9 Place NE
W880;;;;Exposure to ionizing radiation - Residence;W88.0 Residencia
W881;;;;Exposure to ionizing radiation - tenement;W88.1 collective Habitacao
W882;;;;Exposure to ionizing radiation - schools, other institutions and areas of public administration;W88.2 Schools othe instit admin public areas
W883;;;;Exposure to ionizing radiation - area for sports and athletics;W88.3 Area w / the practice of sports and athletics
W884;;;;Exposure to ionizing radiation - street and road;Street and highway W88.4
W885;;;;Exposure to ionizing radiation - the areas of trade and services;W88.5 trade Areas and services
W886;;;;Exposure to ionizing radiation - industrial areas and construction;W88.6 Industrial Areas and construction
W887;;;;Exposure to ionizing radiation - farm;W88.7 Farm
W888;;;;Exposure to ionizing radiation - other specified locations;W88.8 othe specific locations
W889;;;;Exposure to ionizing radiation - unspecified location;W88.9 Place NE
W890;;;;Exposure to artificial light sources visible or ultraviolet light - Residence;W89.0 Residencia
W891;;;;Exposure to artificial light sources visible or ultraviolet light - tenement;W89.1 collective Habitacao
W892;;;;Exposure to artificial light sources visible or ultraviolet light - schools, other institutions and areas of public administration;W89.2 Schools othe instit admin public areas
W893;;;;Exposure to artificial light sources visible or ultraviolet light - area for sports and athletics;W89.3 Area w / the practice of sports and athletics
W894;;;;Exposure to artificial light sources visible or ultraviolet light - street and road;Street and highway W89.4
W895;;;;Exposure to artificial light sources visible or ultraviolet light - trade and service areas;W89.5 trade Areas and services
W896;;;;Exposure to artificial light sources visible or ultraviolet light - industrial areas and construction;W89.6 Industrial Areas and construction
W897;;;;Exposure to artificial light sources visible or ultraviolet light - farm;W89.7 Farm
W898;;;;Exposure to artificial light sources visible or ultraviolet light - other specified locations;W89.8 othe specific locations
W899;;;;Exposure to artificial light sources visible or ultraviolet light - unspecified location;W89.9 Place NE
W900;;;;Exposure to other types of non-ionizing radiation - Residence;W90.0 Residencia
W901;;;;Exposure to other types of non-ionizing radiation - tenement;W90.1 collective Habitacao
W902;;;;Exposure to other types of non-ionizing radiation - schools, other institutions and areas of public administration;W90.2 Schools othe instit admin public areas
W903;;;;Exposure to other types of non-ionizing radiation - area for sports and athletics;W90.3 Area w / the practice of sports and athletics
W904;;;;Exposure to other types of non-ionizing radiation - street and road;Street and highway W90.4
W905;;;;Exposure to other types of non-ionizing radiation - trade and service areas;W90.5 trade Areas and services
W906;;;;Exposure to other types of non-ionizing radiation - industrial areas and construction;W90.6 Industrial Areas and construction
W907;;;;Exposure to other types of non-ionizing radiation - farm;W90.7 Farm
W908;;;;Exposure to other types of non-ionizing radiation - other specified locations;W90.8 othe specific locations
W909;;;;Exposure to other types of non-ionizing radiation - unspecified location;W90.9 Place NE
W910;;;;Exposure to unspecified type of radiation - Residence;W91.0 Residencia
W911;;;;Exposure to unspecified type of radiation - tenement;W91.1 collective Habitacao
W912;;;;Exposure to unspecified type of radiation - schools, other institutions and areas of public administration;W91.2 Schools othe instit admin public areas
W913;;;;Exposure to unspecified type of radiation - area for sports and athletics;W91.3 Area w / the practice of sports and athletics
W914;;;;Exposure to unspecified type of radiation - street and road;Street and highway W91.4
W915;;;;Exposure to unspecified type of radiation - trade and service areas;W91.5 trade Areas and services
W916;;;;Exposure to unspecified type of radiation - industrial areas and construction;W91.6 Industrial Areas and construction
W917;;;;Exposure to unspecified type of radiation - farm;W91.7 Farm
W918;;;;Exposure to unspecified type of radiation - other specified locations;W91.8 othe specific locations
W919;;;;Exposure to unspecified type of radiation - unspecified location;W91.9 Place NE
W920;;;;Exposure to excessive heat of artificial origin - Residence;W92.0 Residencia
W921;;;;Exposure to excessive heat of artificial origin - tenement;W92.1 collective Habitacao
W922;;;;Exposure to excessive heat of artificial origin - schools, other institutions and areas of public administration;W92.2 Schools othe instit admin public areas
W923;;;;Exposure to excessive heat of artificial origin - area for sports and athletics;W92.3 Area w / the practice of sports and athletics
W924;;;;Exposure to excessive heat of artificial origin - street and road;Street and highway W92.4
W925;;;;Exposure to excessive heat of artificial origin - trade and service areas;W92.5 trade Areas and services
W926;;;;Exposure to excessive heat of artificial origin - industrial areas and construction;W92.6 Industrial Areas and construction
W927;;;;Exposure to excessive heat of artificial origin - farm;W92.7 Farm
W928;;;;Exposure to excessive heat of artificial origin - other specified locations;W92.8 othe specific locations
W929;;;;Exposure to excessive heat of artificial origin - unspecified location;W92.9 Place NE
W930;;;;Exposure to excessive cold of artificial origin - Residence;W93.0 Residencia
W931;;;;Exposure to excessive cold of artificial origin - tenement;W93.1 collective Habitacao
W932;;;;Exposure to excessive cold of artificial origin - schools, other institutions and areas of public administration;W93.2 Schools othe instit admin public areas
W933;;;;Exposure to excessive cold of artificial origin - area for sports and athletics;W93.3 Area w / the practice of sports and athletics
W934;;;;Exposure to excessive cold of artificial origin - street and road;Street and highway W93.4
W935;;;;Exposure to excessive cold of artificial origin - trade and service areas;W93.5 trade Areas and services
W936;;;;Exposure to excessive cold of artificial origin - industrial areas and construction;W93.6 Industrial Areas and construction
W937;;;;Exposure to excessive cold of artificial origin - farm;W93.7 Farm
W938;;;;Exposure to excessive cold of artificial origin - other specified locations;W93.8 othe specific locations
W939;;;;Exposure to excessive cold of artificial origin - unspecified location;W93.9 Place NE
W940;;;;Exposure to high, low and atmospheric pressure variations - Residence;W94.0 Residencia
W941;;;;Exposure to high, low and variations in atmospheric pressure - tenement;W94.1 collective Habitacao
W942;;;;Exposure to high, low and variations in atmospheric pressure - schools, other institutions and areas of public administration;W94.2 Schools othe instit admin public areas
W943;;;;Exposure to high, low and variations in atmospheric pressure - area for sports and athletics;W94.3 Area w / the practice of sports and athletics
W944;;;;Exposure to high, low and variations in atmospheric pressure - street and road;Street and highway W94.4
W945;;;;Exposure to high, low and variations in atmospheric pressure - trade and service areas;W94.5 trade Areas and services
W946;;;;Exposure to high, low and variations of atmospheric pressure - in construction and industrial areas;W94.6 Industrial Areas and construction
W947;;;;Exposure to high, low and atmospheric pressure variations - farm;W94.7 Farm
W948;;;;Exposure to high, low and variations of atmospheric pressure - other specified locations;W94.8 othe specific locations
W949;;;;Exposure to high, low and variations of atmospheric pressure - unspecified location;W94.9 Place NE
W990;;;;Exposure to other artificial environmental factors and unspecified - Residence;W99.0 Residencia
W991;;;;Exposure to other artificial environmental factors and unspecified - tenement;W99.1 collective Habitacao
W992;;;;Exposure to other artificial environmental factors and unspecified - schools, other institutions and areas of public administration;W99.2 Schools othe instit admin public areas
W993;;;;Exposure to other artificial environmental factors and unspecified - area for sports and athletics;W99.3 Area w / the practice of sports and athletics
W994;;;;Exposure to other artificial environmental factors and unspecified - Street and highway;Street and highway W99.4
W995;;;;Exposure to other artificial environmental factors and unspecified - areas of trade and services;W99.5 trade Areas and services
W996;;;;Exposure to other artificial environmental factors and unspecified - industrial areas and construction;W99.6 Industrial Areas and construction
W997;;;;Exposure to other artificial environmental factors and unspecified - farm;W99.7 Farm
W998;;;;Exposure to other artificial environmental factors and unspecified - other specified locations;W99.8 othe specific locations
W999;;;;Exposure to other artificial environmental factors and unspecified - unspecified location;W99.9 Place NE
X000;;;;Exposure to uncontrolled fire in a building or other construction - Residence;X00.0 Residencia
X001;;;;Exposure to uncontrolled fire in a building or other type of building - tenement;X00.1 collective Habitacao
X002;;;;Exposure to uncontrolled fire in a building or other construction - schools, other institutions and areas of public administration;X00.2 Schools othe instit admin public areas
X003;;;;Exposure to uncontrolled fire in a building or other construction - area for sports and athletics;X00.3 Area w / the practice of sports and athletics
X004;;;;Exposure to uncontrolled fire in a building or other construction - Street and highway;Street and highway X00.4
X005;;;;Exposure to uncontrolled fire in a building or other construction - trade and service areas;X00.5 trade Areas and services
X006;;;;Exposure to uncontrolled fire in a building or other construction - industrial areas and construction;X00.6 Industrial Areas and construction
X007;;;;Exposure to uncontrolled fire in a building or other construction - farm;X00.7 Farm
X008;;;;Exposure to uncontrolled fire in a building or other construction - other specified locations;X00.8 othe specific locations
X009;;;;Exposure to uncontrolled fire in a building or other construction - unspecified location;X00.9 Place NE
X010;;;;Exposure to uncontrolled fire outside a building or other construction - Residence;X01.0 Residencia
X011;;;;Exposure to uncontrolled fire outside a building or other type of building - tenement;X01.1 collective Habitacao
X012;;;;Exposure to uncontrolled fire outside a building or other construction - schools, other institutions and areas of public administration;X01.2 Schools othe instit admin public areas
X013;;;;Exposure to uncontrolled fire outside a building or other construction - area for sports and athletics;X01.3 Area w / the practice of sports and athletics
X014;;;;Exposure to uncontrolled fire outside a building or other construction - Street and highway;Street and highway X01.4
X015;;;;Exposure to uncontrolled fire outside a building or other construction - trade and service areas;X01.5 trade Areas and services
X016;;;;Exposure to uncontrolled fire outside a building or other construction - industrial areas and construction;X01.6 Industrial Areas and construction
X017;;;;Exposure to uncontrolled fire outside a building or other construction - farm;X01.7 Farm
X018;;;;Exposure to uncontrolled fire outside a building or other construction - other specified locations;X01.8 othe specific locations
X019;;;;Exposure to uncontrolled fire outside a building or other construction - unspecified location;X01.9 Place NE
X020;;;;Exposure to controlled fire in a building or other construction - Residence;X02.0 Residencia
X021;;;;Exposure to controlled fire in a building or other type of building - tenement;X02.1 collective Habitacao
X022;;;;Exposure to controlled fire in a building or other construction - schools, other institutions and areas of public administration;X02.2 Schools othe instit admin public areas
X023;;;;Exposure to controlled fire in a building or other construction - area for sports and athletics;X02.3 ??Area w / the practice of sports and athletics
X024;;;;Exposure to controlled fire in a building or other construction - Street and highway;Street and highway X02.4
x025;;;;Exposure to controlled fire in a building or other construction - trade and service areas;X02.5 trade Areas and services
X026;;;;Exposure to controlled fire in a building or other construction - industrial areas and construction;X02.6 Industrial Areas and construction
X027;;;;Exposure to controlled fire in a building or other construction - farm;X02.7 Farm
X028;;;;Exposure to controlled fire in a building or other construction - other specified locations;X02.8 othe specific locations
X029;;;;Exposure to controlled fire in a building or other construction - unspecified location;X02.9 Place NE
X030;;;;Exposure to controlled fire outside a building or other construction - Residence;X03.0 Residencia
X031;;;;Exposure to controlled fire outside a building or other type of building - tenement;X03.1 collective Habitacao
X032;;;;fire exposure controlled outside a building or other construction - schools, other institutions and areas of public administration;X03.2 Schools othe instit admin public areas
X033;;;;fire exposure controlled outside a building or other construction - area for sports and athletics;X03.3 Area w / the practice of sports and athletics
X034;;;;fire exposure controlled outside a building or other construction - Street and highway;Street and highway X03.4
X035;;;;Exposure to controlled fire outside a building or other construction - trade and service areas;X03.5 trade Areas and services
X036;;;;Exposure to controlled fire outside a building or other construction - industrial areas and construction;X03.6 Industrial Areas and construction
X037;;;;Exposure to controlled fire outside a building or other construction - farm;X03.7 Farm
X038;;;;Exposure to controlled fire outside a building or other construction - other specified locations;X03.8 othe specific locations
X039;;;;fire exposure controlled outside a building or other construction - unspecified location;X03.9 Place NE
X040;;;;Exposure to very flammable substance combustion - Residence;X04.0 Residencia
X041;;;;Exposure to very flammable substance combustion - tenement;X04.1 collective Habitacao
X042;;;;Exposure to very flammable substance combustion - schools, other institutions and areas of public administration;X04.2 Schools othe instit admin public areas
x043;;;;Exposure to very flammable substance combustion - area for sports and athletics;X04.3 Area w / the practice of sports and athletics
X044;;;;Exposure to very flammable substance combustion - street and road;Street and highway X04.4
X045;;;;Exposure to very flammable substance combustion - trade and service areas;X04.5 trade Areas and services
X046;;;;Exposure to very flammable substance combustion - industrial areas and construction;X04.6 Industrial Areas and construction
X047;;;;Exposure to very flammable substance combustion - farm;X04.7 Farm
X048;;;;Exposure to very flammable substance combustion - other specified locations;X04.8 othe specific locations
X049;;;;Exposure to very flammable substance combustion - unspecified location;X04.9 Place NE
X050;;;;Exposure to combustion clothing sleeping - Residence;X05.0 Residencia
X051;;;;Exposure to combustion clothing sleeping - tenement;X05.1 collective Habitacao
X052;;;;Exposure to combustion clothing sleeping - schools, other institutions and areas of public administration;X05.2 Schools othe instit admin public areas
X053;;;;Exposure to combustion clothing sleeping - area for sports and athletics;X05.3 Area w / the practice of sports and athletics
X054;;;;Exposure to combustion clothing sleeping - street and road;Street and highway X05.4
X055;;;;Exposure to combustion clothing sleeping - trade and service areas;X05.5 trade Areas and services
X056;;;;Exposure to combustion clothing sleeping - industrial areas and construction;X05.6 Industrial Areas and construction
X057;;;;Exposure to combustion clothing sleeping - farm;X05.7 Farm
X058;;;;Exposure to combustion clothing sleeping - other specified locations;X05.8 othe specific locations
X059;;;;Exposure to combustion clothing sleeping - unspecified location;X05.9 Place NE
X060;;;;Exposure to combustion of other type of clothing or accessories - Residence;X06.0 Residencia
X061;;;;Exposure to combustion of other type of clothing or accessories - tenement;X06.1 collective Habitacao
X062;;;;Exposure to combustion of other type of clothing or accessories - schools, other institutions and areas of public administration;X06.2 Schools othe instit admin public areas
X063;;;;Exposure to combustion of other type of clothing or accessories - area for sports and athletics;X06.3 Area w / the practice of sports and athletics
X064;;;;Exposure to combustion of other type of clothing or accessories - street and road;Street and highway X06.4
X065;;;;Exposure to combustion of other type of clothing or accessories - trade and service areas;X06.5 trade Areas and services
X066;;;;Exposure to combustion of other type of clothing or accessories - industrial areas and construction;X06.6 Industrial Areas and construction
X067;;;;Exposure to combustion of other type of clothing or accessories - farm;X06.7 Farm
X068;;;;Exposure to combustion of other type of clothing or accessories - other specified locations;X06.8 othe specific locations
X069;;;;Exposure to combustion of other type of clothing or accessories - unspecified location;X06.9 Place NE
X080;;;;Exposure to other specified smoke, fire and flames - Residence;X08.0 Residencia
X081;;;;Exposure to other specified smoke, fire and flames - tenement;X08.1 collective Habitacao
X082;;;;Exposure to other specified smoke, fire and flames - schools, other institutions and areas of public administration;X08.2 Schools othe instit admin public areas
X083;;;;Exposure to other specified smoke, fire and flames - area for sports and athletics;X08.3 Area w / the practice of sports and athletics
X084;;;;Exposure to other specified smoke, fire and flames - street and road;Street and highway X08.4
X085;;;;Exposure to other specified smoke, fire and flames - trade and service areas;X08.5 trade Areas and services
X086;;;;Exposure to other specified smoke, fire and flames - industrial areas and construction;X08.6 Industrial Areas and construction
X087;;;;Exposure to other specified smoke, fire and flames - farm;X08.7 Farm
X088;;;;Exposure to other specified smoke, fire and flames - other specified locations;X08.8 othe specific locations
X089;;;;Exposure to other specified smoke, fire and flames - unspecified location;X08.9 Place NE
X090;;;;Exposure to unspecified smoke, fire and flames - Residence;X09.0 Residencia
X091;;;;Exposure to unspecified smoke, fire and flames - tenement;X09.1 collective Habitacao
X092;;;;Exposure to unspecified smoke, fire and flames - schools, other institutions and areas of public administration;X09.2 Schools othe instit admin public areas
X093;;;;Exposure to unspecified smoke, fire and flames - area for sports and athletics;X09.3 Area w / the practice of sports and athletics
X094;;;;Exposure to unspecified smoke, fire and flames - street and road;Street and highway X09.4
X095;;;;Exposure to unspecified smoke, fire and flames - trade and service areas;X09.5 trade Areas and services
X096;;;;Exposure to unspecified smoke, fire and flames - industrial areas and construction;X09.6 Industrial Areas and construction
X097;;;;Exposure to unspecified smoke, fire and flames - farm;X09.7 Farm
X098;;;;Exposure to unspecified smoke, fire and flames - other specified locations;X09.8 othe specific locations
X099;;;;Exposure to unspecified smoke, fire and flames - unspecified location;X09.9 Place NE
X100;;;;Contact with drinks, food, fat and hot cooking oil - Residence;X10.0 Residencia
X101;;;;Contact with drinks, food, fat and hot cooking oil - tenement;X10.1 collective Habitacao
X102;;;;Contact with drinks, food, fat and hot cooking oil - schools, other institutions and areas of public administration;X10.2 Schools othe instit admin public areas
X103;;;;Contact with drinks, food, fats and cooking oil hot - area for sports and athletics;X10.3 Area w / the practice of sports and athletics
X104;;;;Contact with drinks, food, fats and cooking oil hot - Street and highway;Street and highway X10.4
X105;;;;Contact with drinks, food, fat and hot cooking oil - trade and service areas;X10.5 trade Areas and services
X106;;;;Contact with drinks, food, fat and hot cooking oil - industrial areas and construction;X10.6 Industrial Areas and construction
x107;;;;Contact with drinks, food, fats and cooking oil hot - Farm;X10.7 Farm
X108;;;;Contact with drinks, food, fat and hot cooking oil - other specified locations;X10.8 othe specific locations
X109;;;;Contact with drinks, food, fat and hot cooking oil - unspecified location;X10.9 Place NE
X110;;;;Contact with hot tap water faucet - Residence;X11.0 Residencia
X111;;;;Contact with hot tap water faucet - tenement;X11.1 collective Habitacao
x112;;;;Contact with hot tap water faucet - schools, other institutions and areas of public administration;X11.2 Schools othe instit admin public areas
X113;;;;Contact with hot tap water faucet - area for sports and athletics;X11.3 Area w / the practice of sports and athletics
X114;;;;Contact with hot tap water faucet - Street and highway;Street and highway X11.4
X115;;;;Contact with hot tap water faucet - trade and service areas;X11.5 trade Areas and services
X116;;;;Contact with hot tap water faucet - industrial areas and construction;X11.6 Industrial Areas and construction
x117;;;;Contact with hot tap water faucet - farm;X11.7 Farm
x118;;;;Contact with hot tap water faucet - other specified locations;X11.8 othe specific locations
x119;;;;Contact with hot tap water faucet - unspecified location;X11.9 Place NE
X120;;;;Contact with other hot liquids - Residence;X12.0 Residencia
X121;;;;Contact with other hot liquids - tenement;X12.1 collective Habitacao
